SID	run	Volume #	Striping	Intensity Change
102	stop7	4	2	
102	stop7	5	2	
102	stop7	6	1	
102	stop7	15		2
102	stop7	17	1	
102	stop7	18	2	
102	stop7	19	2	
102	stop7	20	1	
102	stop7	21	1	
102	stop7	29		2
102	stop7	30	2	
102	stop7	31	2	
102	stop7	33	1	
102	stop7	35		1
102	stop7	39		1
102	stop7	45		1
102	stop7	46	2	
102	stop7	47	2	
102	stop7	48		1
102	stop7	51		2
102	stop7	54		1
102	stop7	56		2
102	stop7	58		2
102	stop7	59	2	
102	stop7	60	2	
102	stop7	61	2	
102	stop7	62	1	
102	stop7	65	2	
102	stop7	69		2
102	stop4	1	1	
102	stop4	2	2	
102	stop4	3	1	
102	stop4	14	2	
102	stop4	13		1
102	stop4	38		1
102	stop4	39	2	
102	stop4	40	2	
102	stop4	59		1
102	stop4	60	2	
102	stop4	61	2	
102	stop4	62		1
110	stop6	1		1
111	stop3	5		1
111	stop3	20		1
111	stop3	30		1
111	stop7	0	0	0
113	stop3	40	2	
113	stop3	59	1	2
113	stop3	60	2	0
113	stop7	0	2	
113	stop7	1	1	
113	stop7	28		2
113	stop7	29	2	
113	stop7	45	2	
113	stop7	56		2
113	stop7	58	2	
113	stop7	59	2	
113	stop7	74		2
113	stop7	75		2
114	stop7	0	0	0
115	stop3	0	0	0
115	stop5	0	0	0
116	stop4	23	2	
116	stop4	25	2	
116	stop4	37	2	
116	stop4	38	2	
116	stop4	42	2	
116	stop4	43	2	
116	stop4	53	2	1
116	stop4	55	2	
117	stop4	76		2
117	stop4	78	2	
117	stop4	79	1	
119	stop6	23		2
121	stop5	10	2	
121	stop5	11	2	
121	stop5	12	2	
121	stop5	14		2
121	stop5	15	2	
121	stop5	16	2	
121	stop5	17	2	
121	stop5	21	2	
121	stop5	22	2	
121	stop5	61		2
121	stop5	62	2	
124	stop5	0	0	0
124	stop6	76	2	
124	stop6	77	2	
124	stop8	0	1	
124	stop8	31	1	2
125	stop4	0	0	0
127	stop5	0	0	0
127	stop8	0	0	0
128	stop3	0	0	0
128	stop7	0	0	0
129	stop4	0	0	0
129	stop5	0	0	0
130	stop3	0	0	0
	stop4	0	0	0
131	stop3	71	1	
	stop4	0	0	0
132	stop3	0	0	0
	stop6	0	0	0
133	stop4	0	0	0
	stop6	0	1	
		0	1	
		70	2	2
	stop7	0	0	0
134	stop3	0	0	0
	stop6	32	2	2
		33	1	
		34	2	
		35	2	
		36	1	2
		46	2	
		47	2	
		49	2	2
		51	2	
		53	2	
		69	2	
	stop7	73	2	
		74	2	
135	stop4	0	0	0
136	stop5	0	0	0
139	stop5	2	1	
		19	2	
		20	2	
		22		1
		74	2	
		75	2	
		76	2	
		77	2	
140	stop3	0	0	0
144	stop8	0	0	0
145	stop5	69	2	
		70	2	
		71	2	
	stop6	4	1	
		5	2	
		6	2	
		28	2	
		29	2	
		30	2	
		31	2	
		32	1	
		33	2	
		48	2	
		49	2	
		50	2	
		57	2	
		58	2	
		59	2	
151	stop6	16	1	1
		74		2
		76		1
	stop7	70		2
	stop8	0	0	0
152	stop3	0	0	0
	stop4	0	0	0
	stop6	0	0	0
155	stop3	0	0	0
157	stop3	40	2	
159	stop4	0	0	0
	stop5	0	0	0
	stop7	61	1	
		62	1	
		63	1	
		64	1	
		70	2	
		71	2	
		72	2	
		74	2	
		75	2	
	stop8	42	1	
		53	1	
		54	1	
160	stop4	33	2	
	stop5	21	2	
		63	2	
		81	2	2
		82	2	
	stop7	1	1	
		6	2	
		26		1
		27	1	
		36		1
		53	2	
		54	2	
		63	2	
		64	2	
		65	2	
		67	2	
		68	2	
		79	2	
		80	2	
161	stop3	0	2	
		1	2	
		2	2	
		49	2	2
162	stop7	1	1	
	stop8	9	2	
		10	1	
163	stop3	0	0	0
	stop5	50	1	
	stop8	44	1	
164	stop3	7	1	
		8	2	
		9	2	
		10	2	
		40	2	
		41	2	2
		42	2	
		43	2	
	stop5	1	1	
		2	1	
		3	1	
		65	2	
		66	2	
		67	2	
165	stop4	0	0	0
	stop6	0	0	0
	stop7	0	0	0
	stop8	0	0	0
168	stop6	32	2	
		33	2	
	stop7	24	1	
		25	2	
		26	2	
		31	1	
		32	2	
		33	2	
169	stop5	74	2	
		75	2	
		76	2	
170	stop4	0	0	
	stop7	0	0	
171	stop8	33	2	
		34	1	
173	stop5	0	0	0
	stop8	0	0	0
174	stop6	0	0	0
175	stop5	0	0	0
177	stop5	0	0	0
178	stop3	45	1	
		46	2	
		47	2	
		70	1	
		71	1	
		81	2	
		82	2	
		83	2	
		84	2	
179	stop4	2	1	
		5		1
		11	2	
		37		2
	stop7	62	2	
		64	2	
		65	2	2
		66	2	2
181	stop5	0	0	0
	stop7	0	0	0
182	stop3	0	0	0
184	stop6	0	0	0
	stop7	1	2	2
		2	1	
		3		2
		59		2
		73	2	
		74	2	
		75	2	
		76	2	
185	stop3	0	0	0
	stop5	0	0	0
186	stop6	11	1	
		12	2	
		13	2	
		19	2	2
		20	2	
187	stop5	0	0	0
